Make,Model,Supported Package,openpilot ACC,Stop and Go,Steer to 0,Steering Torque,Actively Maintained
Audi,Q3 2020-21,ACC + Lane Assist,,,,,
Audi,S3 2015-17,ACC + Lane Assist,,,,,
Audi,RS3 2018,ACC + Lane Assist,,,,,
Audi,Q2 2018,ACC + Lane Assist,,,,,
Audi,A3 Sportback e-tron 2017-18,ACC + Lane Assist,,,,,
Audi,A3 2014-19,ACC + Lane Assist,,,,,
Genesis,G70 2020,All,,,,,
Genesis,G70 2018,All,,,,,
Genesis,G80 2018,All,,,,,
Hyundai,Santa Fe 2021-22,All,,,,,
Hyundai,Elantra Hybrid 2021-22,SCC + LKAS,,,,,
Hyundai,Ioniq Electric 2020,SCC + LKAS,,,,,
Hyundai,Ioniq Hybrid 2020-22,SCC + LFA,,,,,
Hyundai,Ioniq Plug-in Hybrid 2020-21,SCC + LKAS,,,,,
Hyundai,Kona 2020,SCC + LKAS,,,,,
Hyundai,Kona Electric 2018-21,SCC + LKAS,,,,,
Hyundai,Kona Hybrid 2020,SCC + LKAS,,,,,
Hyundai,Elantra 2021-22,SCC + LKAS,,,,,
Hyundai,Santa Fe Hybrid 2022,All,,,,,
Hyundai,Tucson Diesel 2019,SCC + LKAS,,,,,
Hyundai,Palisade 2020-21,All,,,,,
Hyundai,Santa Fe 2019-20,All,,,,,
Hyundai,Sonata 2020-22,All,,,,,
Hyundai,Sonata Hybrid 2020-22,All,,,,,
Hyundai,Santa Fe Plug-in Hybrid 2022,All,,,,,
Hyundai,Sonata 2018-19,SCC + LKAS,,,,,
Kia,Seltos 2021,SCC + LKAS,,,,,
Kia,Niro Hybrid 2022,SCC + LKAS,,,,,
Kia,Sorento 2019,SCC + LKAS,,,,,
Kia,Stinger 2018,SCC + LKAS,,,,,
Kia,Niro Hybrid 2021,SCC + LKAS,,,,,
Kia,Forte 2019-21,SCC + LKAS,,,,,
Kia,Forte 2018,SCC + LKAS,,,,,
Kia,Ceed 2019,SCC + LKAS,,,,,
Kia,Optima 2019,SCC + LKAS,,,,,
Kia,Sorento 2018,SCC + LKAS,,,,,
Kia,K5 2021-22,SCC + LFA,,,,,
Kia,Niro Electric 2019-20,All,,,,,
Kia,Niro Electric 2021,All,,,,,
Kia,Niro Electric 2022,All,,,,,
Kia,Telluride 2020,SCC + LKAS,,,,,
Lexus,NX Hybrid 2018-19,All,3.0,,,,
Lexus,RX 2016-18,All,3.0,,,,
Lexus,NX 2018-19,All,3.0,,,,
Lexus,ES Hybrid 2017-18,LSS,3.0,,,,
Lexus,CT Hybrid 2017-18,LSS,3.0,,,,
Lexus,ES 2019-21,All,,,,,
Lexus,ES Hybrid 2019-22,All,,,,,
Lexus,NX 2020,All,,,,,
Lexus,RX 2020-22,All,,,,,
Lexus,RX Hybrid 2020-21,All,,,,,
Lexus,RX Hybrid 2016-19,All,3.0,,,,
Lexus,UX Hybrid 2019-21,All,,,,,
Mazda,CX-5 2022,All,,,,,
SEAT,Ateca 2018,Driver Assistance,,,,,
SEAT,Leon 2014-20,Driver Assistance,,,,,
Subaru,Crosstrek 2018-19,EyeSight,,,,,
Subaru,Forester 2019-21,EyeSight,,,,,
Subaru,Impreza 2017-19,EyeSight,,,,,
Toyota,C-HR 2017-21,All,,,,,
Toyota,C-HR Hybrid 2017-19,All,,,,,
Toyota,Camry 2018-20,All,,4.0,,,
Toyota,Avalon 2019-21,TSS-P,3.0,,,,
Toyota,Highlander 2017-19,All,3.0,,,,
Toyota,Highlander Hybrid 2017-19,All,3.0,,,,
Toyota,RAV4 2022,All,,,,,
Toyota,RAV4 Hybrid 2016-18,TSS-P,3.0,,,,
Toyota,RAV4 Hybrid 2022,All,,,,,
Toyota,Sienna 2018-20,All,3.0,,,,
Toyota,Avalon Hybrid 2019-21,TSS-P,3.0,,,,
Toyota,Camry Hybrid 2018-20,All,,4.0,,,
Toyota,RAV4 2019-21,All,,,,,
Toyota,Camry 2021-22,All,,4.0,,,
Toyota,Camry Hybrid 2021-22,All,,,,,
Toyota,RAV4 Hybrid 2019-21,All,,,,,
Toyota,Avalon Hybrid 2022,All,,,,,
Toyota,Corolla Hybrid 2020-22,All,,,,,
Toyota,Highlander 2020-22,All,,,,,
Toyota,Highlander Hybrid 2020-22,All,,,,,
Toyota,Corolla 2020-22,All,,,,,
Toyota,Mirai 2021,All,,,,,
Toyota,Prius Prime 2021-22,All,,,,,
Toyota,Avalon 2022,All,,,,,
Toyota,Alphard Hybrid 2021,All,,,,,
Toyota,Alphard 2019-20,All,,,,,
Toyota,Prius 2021-22,All,,,,,
Toyota,Corolla Hatchback 2019-22,All,,,,,
Volkswagen,Golf SportsVan 2016,Driver Assistance,,,,,
Volkswagen,Golf R 2016-19,Driver Assistance,,,,,
Volkswagen,Taos 20228,Driver Assistance,,,,,
Volkswagen,Golf SportWagen 2015,Driver Assistance,,,,,
Volkswagen,Jetta 2018-21,Driver Assistance,,,,,
Volkswagen,Jetta GLI 2021,Driver Assistance,,,,,
Volkswagen,Passat 2015-187,Driver Assistance,,,,,
Volkswagen,Polo 2020,Driver Assistance,,,,,
Volkswagen,T-Cross 20218,Driver Assistance,,,,,
Volkswagen,T-Roc 20218,Driver Assistance,,,,,
Volkswagen,Golf GTI 2018-21,Driver Assistance,,,,,
Volkswagen,Golf GTE 2016,Driver Assistance,,,,,
Volkswagen,Touran 2017,Driver Assistance,,,,,
Volkswagen,Golf 2015-20,Driver Assistance,,,,,
Volkswagen,"e-Golf 2014, 2018-20",Driver Assistance,,,,,
Volkswagen,"Atlas 2018-19, 20228",Driver Assistance,,,,,
Volkswagen,"Arteon 2018, 20218",Driver Assistance,,,,,
